entry_time,exit_time,side,entry,exit,pnl,bars,reason
2025-04-15 19:56:00,2025-04-15 20:56:00,1,3247.205,3264.065,16.660000000000128,60,reverse
2025-04-20 18:00:00,2025-04-20 18:01:00,1,3331.305,3328.305,-3.2,1,sl
2025-04-22 01:31:00,2025-04-22 01:33:00,-1,3473.975,3476.975,-3.2,2,sl
2025-04-22 02:50:00,2025-04-22 02:52:00,-1,3478.895,3478.185,0.5100000000000364,2,trail
2025-04-22 08:15:00,2025-04-22 08:18:00,1,3459.515,3460.855,1.1400000000001456,3,trail
2025-04-22 21:12:00,2025-04-22 21:14:00,1,3371.665,3373.065,1.200000000000091,2,trail
2025-04-22 23:50:00,2025-04-22 23:51:00,-1,3335.565,3338.565,-3.2,1,sl
2025-04-23 09:37:00,2025-04-23 09:45:00,-1,3295.865,3293.865,1.8,8,trail
2025-04-23 11:34:00,2025-04-23 11:35:00,-1,3271.425,3270.255,0.9700000000000728,1,trail
2025-04-23 14:22:00,2025-04-23 14:25:00,-1,3281.015,3280.495,0.3199999999999818,3,trail
2025-04-24 06:57:00,2025-04-24 06:59:00,-1,3326.405,3329.405,-3.2,2,sl
2025-04-25 02:07:00,2025-04-25 02:09:00,-1,3290.525,3289.255,1.0699999999999819,2,trail
2025-04-27 18:12:00,2025-04-27 18:14:00,1,3326.595,3328.365,1.5699999999999819,2,trail
2025-04-28 18:06:00,2025-04-28 18:08:00,-1,3341.035,3339.035,1.8,2,trail
2025-04-30 18:38:00,2025-04-30 18:40:00,-1,3272.515,3275.515,-3.2,2,sl
2025-04-30 20:53:00,2025-04-30 20:55:00,-1,3244.035,3242.395,1.4399999999998727,2,trail
2025-05-02 10:02:00,2025-05-02 10:08:00,-1,3243.775,3246.775,-3.2,6,sl
2025-05-06 21:06:00,2025-05-06 21:07:00,-1,3370.175,3373.175,-3.2,1,sl
2025-05-07 15:42:00,2025-05-07 15:44:00,-1,3368.475,3371.475,-3.2,2,sl
2025-05-08 09:30:00,2025-05-08 09:39:00,1,3362.785,3364.785,1.8,9,trail
2025-05-08 13:28:00,2025-05-08 13:32:00,-1,3299.895,3298.875,0.8199999999999819,4,trail
2025-05-09 07:26:00,2025-05-09 07:28:00,1,3333.855,3335.855,1.8,2,trail
2025-05-11 23:20:00,2025-05-11 23:23:00,1,3278.335,3279.365,0.8299999999997454,3,trail
2025-05-13 04:55:00,2025-05-13 04:58:00,-1,3250.525,3253.525,-3.2,3,sl
2025-05-13 22:37:00,2025-05-13 22:38:00,-1,3231.855,3230.265,1.3900000000001456,1,trail
2025-05-15 08:52:00,2025-05-15 08:55:00,1,3186.545,3187.935,1.1899999999998727,3,trail
2025-05-16 03:15:00,2025-05-16 03:20:00,-1,3210.805,3208.805,1.8,5,trail
2025-05-20 10:40:00,2025-05-20 10:42:00,1,3284.965,3281.965,-3.2,2,sl
2025-05-28 21:33:00,2025-05-28 21:36:00,-1,3249.585,3252.585,-3.2,3,sl
2025-05-30 11:03:00,2025-05-30 11:04:00,-1,3275.805,3278.805,-3.2,1,sl
2025-06-05 10:41:00,2025-06-05 10:43:00,-1,3373.195,3371.195,1.8,2,trail
