entry_time,exit_time,direction,entry,exit,pnl,bars
2025-12-09 14:35,2025-12-09 14:43,LONG,4209.965,4208.755,-1.41,8
2025-12-09 14:44,2025-12-09 14:46,LONG,4209.295,4207.375,-2.12,2
2025-12-09 14:52,2025-12-09 15:08,LONG,4210.655,4212.465,1.61,16
2025-12-09 15:11,2025-12-09 15:18,LONG,4213.795,4213.008,-0.987,7
2025-12-09 15:39,2025-12-09 15:43,LONG,4211.515,4210.155,-1.56,4
2025-12-09 15:46,2025-12-09 15:57,LONG,4211.385,4211.665,0.08,11
2025-12-09 15:59,2025-12-09 16:01,LONG,4212.225,4211.435,-0.99,2
2025-12-09 16:08,2025-12-09 16:11,LONG,4212.435,4211.415,-1.22,3
2025-12-09 16:45,2025-12-09 16:47,SHORT,4208.565,4209.465,-1.1,2
2025-12-09 16:49,2025-12-09 16:50,SHORT,4208.955,4209.235,-0.48,1
2025-12-09 16:51,2025-12-09 18:02,SHORT,4208.455,4209.575,-1.32,11
2025-12-09 18:11,2025-12-09 18:13,SHORT,4208.335,4208.915,-0.78,2
2025-12-09 18:14,2025-12-09 18:18,SHORT,4208.515,4209.815,-1.5,4
2025-12-09 18:21,2025-12-09 18:27,SHORT,4208.095,4209.605,-1.71,6
2025-12-09 18:43,2025-12-09 18:55,LONG,4210.605,4209.518,-1.287,12
2025-12-09 19:02,2025-12-09 19:04,LONG,4212.365,4209.965,-2.6,2
2025-12-09 20:04,2025-12-09 20:05,SHORT,4206.995,4209.185,-2.39,1
2025-12-09 20:30,2025-12-09 20:35,LONG,4216.625,4214.575,-2.25,5
2025-12-09 20:54,2025-12-09 21:01,LONG,4214.895,4213.475,-1.62,7
2025-12-09 21:03,2025-12-09 21:16,LONG,4215.455,4213.475,-2.18,13
2025-12-09 21:31,2025-12-09 21:51,LONG,4215.135,4215.685,0.35,20
2025-12-09 21:54,2025-12-09 21:55,LONG,4216.645,4215.715,-1.13,1
2025-12-09 21:57,2025-12-09 22:02,LONG,4216.885,4216.035,-1.05,5
2025-12-09 22:38,2025-12-09 23:03,SHORT,4208.385,4206.275,1.91,25
2025-12-09 23:20,2025-12-09 23:37,SHORT,4206.495,4207.265,-0.97,17
2025-12-09 23:47,2025-12-09 23:58,SHORT,4206.405,4207.125,-0.92,11
2025-12-10 00:07,2025-12-10 00:25,SHORT,4206.125,4203.915,2.01,18
2025-12-10 01:33,2025-12-10 01:42,SHORT,4205.395,4206.475,-1.28,9
2025-12-10 01:56,2025-12-10 01:58,SHORT,4205.555,4206.965,-1.61,2
2025-12-10 02:02,2025-12-10 02:03,SHORT,4205.315,4206.755,-1.64,1
2025-12-10 02:12,2025-12-10 02:19,SHORT,4205.315,4208.435,-3.32,7
2025-12-10 02:25,2025-12-10 02:30,SHORT,4206.275,4207.195,-1.12,5
2025-12-10 03:09,2025-12-10 03:19,SHORT,4203.398,4203.435,-0.237,10
2025-12-10 04:14,2025-12-10 04:29,SHORT,4196.985,4197.875,-1.09,15
2025-12-10 04:35,2025-12-10 05:02,SHORT,4196.315,4195.035,1.08,27
2025-12-10 05:04,2025-12-10 05:12,SHORT,4193.148,4194.425,-1.477,8
2025-12-10 05:23,2025-12-10 05:38,SHORT,4192.965,4192.665,0.1,15
2025-12-10 06:08,2025-12-10 06:12,SHORT,4192.595,4193.295,-0.9,4
2025-12-10 06:34,2025-12-10 06:45,LONG,4195.045,4194.898,-0.347,11
2025-12-10 06:48,2025-12-10 07:19,LONG,4196.075,4199.745,3.47,31
2025-12-10 07:39,2025-12-10 07:40,LONG,4198.448,4197.205,-1.443,1
2025-12-10 07:44,2025-12-10 07:46,LONG,4198.015,4197.055,-1.16,2
2025-12-10 07:49,2025-12-10 07:51,LONG,4197.865,4197.045,-1.02,2
2025-12-10 08:03,2025-12-10 08:13,LONG,4197.365,4194.645,-2.92,10
2025-12-10 08:13,2025-12-10 08:17,SHORT,4194.645,4198.445,-4.0,4
2025-12-10 08:20,2025-12-10 08:24,SHORT,4194.135,4197.085,-3.15,4
2025-12-10 08:38,2025-12-10 08:41,LONG,4197.835,4197.035,-1.0,3
2025-12-10 08:44,2025-12-10 09:00,LONG,4199.825,4200.445,0.42,16
2025-12-10 09:07,2025-12-10 09:19,LONG,4203.535,4202.555,-1.18,12
2025-12-10 09:57,2025-12-10 10:04,SHORT,4194.745,4199.585,-5.04,7
2025-12-10 10:11,2025-12-10 10:12,SHORT,4197.355,4198.845,-1.69,1
2025-12-10 10:14,2025-12-10 10:26,SHORT,4195.065,4194.935,-0.07,12
2025-12-10 10:28,2025-12-10 10:29,SHORT,4193.245,4195.615,-2.57,1
2025-12-10 10:40,2025-12-10 11:00,SHORT,4195.529,4193.575,1.754,20
2025-12-10 11:17,2025-12-10 11:18,SHORT,4193.355,4194.935,-1.78,1
2025-12-10 11:40,2025-12-10 12:03,LONG,4200.875,4202.375,1.3,23
2025-12-10 12:19,2025-12-10 12:30,LONG,4202.025,4200.375,-1.85,11
2025-12-10 12:41,2025-12-10 12:42,LONG,4201.265,4200.145,-1.32,1
2025-12-10 13:08,2025-12-10 13:52,SHORT,4199.185,4194.725,4.26,44
2025-12-10 14:00,2025-12-10 14:01,SHORT,4193.408,4210.298,-17.09,1
2025-12-10 14:35,2025-12-10 14:37,LONG,4209.249,4196.165,-13.284,2
2025-12-10 15:35,2025-12-10 15:36,LONG,4233.615,4229.935,-3.88,1
2025-12-10 15:38,2025-12-10 15:40,LONG,4233.465,4231.105,-2.56,2
2025-12-10 15:43,2025-12-10 15:53,LONG,4232.665,4232.735,-0.13,10
2025-12-10 16:17,2025-12-10 16:20,LONG,4228.185,4226.315,-2.07,3
2025-12-10 16:28,2025-12-10 16:30,LONG,4226.935,4226.065,-1.07,2
2025-12-10 16:33,2025-12-10 16:39,LONG,4227.135,4226.615,-0.72,6
2025-12-10 16:42,2025-12-10 16:53,LONG,4227.055,4227.225,-0.03,11
2025-12-10 16:58,2025-12-10 18:08,LONG,4228.565,4227.565,-1.2,10
2025-12-10 19:32,2025-12-10 19:34,LONG,4242.749,4240.885,-2.064,2
2025-12-10 19:40,2025-12-10 19:47,LONG,4241.945,4240.535,-1.61,7
2025-12-10 20:01,2025-12-10 20:15,LONG,4241.935,4240.055,-2.08,14
2025-12-10 21:55,2025-12-10 22:32,SHORT,4225.375,4213.015,12.16,37
2025-12-10 22:55,2025-12-10 22:59,SHORT,4215.195,4216.635,-1.64,4
2025-12-10 23:01,2025-12-10 23:10,SHORT,4215.055,4216.055,-1.2,9
2025-12-10 23:19,2025-12-10 23:34,SHORT,4215.605,4215.305,0.1,15
2025-12-10 23:38,2025-12-10 23:42,SHORT,4212.535,4214.445,-2.11,4
2025-12-10 23:43,2025-12-10 23:53,SHORT,4212.385,4212.895,-0.71,10
2025-12-11 00:11,2025-12-11 00:30,SHORT,4213.745,4212.015,1.53,19
2025-12-11 00:32,2025-12-11 00:33,SHORT,4210.755,4212.315,-1.76,1
