year,end,n0,wr0,net0,n_blk,wr_blk,net_blk,n1,wr1,net1
2024,2024-08-26,262,32.06106870229007,-47.384999999999664,64,25.0,-14.26800000000121,183,38.79781420765027,-9.293000000004767
2024,2024-08-23,257,38.13229571984436,-20.91199999999744,67,34.32835820895522,-8.79100000000144,185,42.16216216216216,-1.5510000000026558
2024,2024-08-22,254,37.79527559055118,-11.061999999999712,65,35.38461538461539,0.15399999999771924,184,46.73913043478261,26.07699999999449
2024,2024-08-21,269,35.687732342007436,-8.336000000001425,68,29.411764705882355,0.3529999999963389,192,43.75,8.033999999993377
2024,2024-08-20,269,31.970260223048324,-39.442000000002096,70,30.0,-0.8630000000030096,195,40.0,-12.588000000005643
2024,2024-08-19,270,35.18518518518518,-24.204000000001543,70,38.57142857142858,13.587999999997017,193,42.487046632124354,-5.6850000000041305
2024,2024-08-16,273,29.67032967032967,-65.47500000000183,66,27.27272727272727,-15.528000000002706,191,38.7434554973822,-46.925000000005824
2024,2024-08-15,261,28.35249042145594,-75.41599999999943,72,27.77777777777778,-18.38500000000286,186,36.02150537634409,-50.02900000000382
2024,2024-08-14,250,28.799999999999997,-82.12499999999773,72,27.77777777777778,-25.575999999999027,180,36.666666666666664,-44.59400000000096
2024,2024-08-13,244,31.967213114754102,-66.9159999999959,72,30.555555555555557,-24.22599999999775,179,40.22346368715084,-37.65999999999922
2024,2024-08-12,232,34.48275862068966,-31.599999999997088,75,29.333333333333332,-9.324999999998447,172,40.69767441860465,-9.392999999999937
2024,2024-08-09,236,40.67796610169492,-13.07799999999876,79,37.9746835443038,9.014000000001676,177,42.3728813559322,1.7850000000004123
2024,2024-08-07,262,41.221374045801525,1.234999999999756,78,44.871794871794876,18.708000000001814,185,48.10810810810811,19.10600000000024
2024,2024-08-06,270,40.370370370370374,-10.614000000004136,77,50.649350649350644,18.185999999999787,184,48.369565217391305,-11.90400000000163
2024,2024-08-05,282,35.1063829787234,-25.119000000003687,79,45.56962025316456,16.36200000000027,191,41.8848167539267,-51.74400000000077
2024,2024-08-04,299,31.103678929765888,-80.37800000000452,70,40.0,-11.2869999999989,198,37.878787878787875,-114.3769999999996
